ID,Point Code,Layer Number,Starting Depth (mm),Ending Depth (mm),Hue,Texture,Value,Chroma
262,MDSB 11,1,9999999,9999999,10 YR,Sandy Clay Loam,2,1
263,MDSB 12,1,9999999,9999999,10 YR,Sandy Loam,2,1
264,MDSB 13,1,9999999,9999999,7.5 YR,Sandy Loam,3,2
265,MDSB 16,1,9999999,9999999,10 YR,Sandy Loam,2,1
266,MDSB 19,1,9999999,9999999,10 YR,Sandy Loam,2,1
267,MDSB 22,1,9999999,9999999,10 YR,Silty Loam,2,1
268,MDSB 25,1,9999999,9999999,10 YR,Clay Loam,3,2
269,MDSB 28,1,9999999,9999999,10 YR,Sandy Loam,2,2
270,MDSB 31,1,9999999,9999999,10 YR,Silty Loam,3,1
271,MDSB 34,1,9999999,9999999,10 YR,Sitly Clay,3,3
272,MDSB 37,1,9999999,9999999,10 YR,Silty Loam,3,4
273,MDSB 40,1,9999999,9999999,10 YR,Sandy Loam,3,2
274,MDSB 43,1,9999999,9999999,10 YR,Silty Loam,4,2
275,MDSB 45,1,9999999,9999999,10 YR,Sandy Clay Loam,3,2
276,MDSB 48,1,9999999,9999999,7.5 YR,Silty Loam,2.5,1
277,HEPP 12,1,0,20,9999999,O Layer,9999999,9999999
278,HEPP 12,2,20,200,9999999,9999999,9999999,9999999
279,HEPP 3,1,0,35,9999999,O Layer,9999999,9999999
280,HEPP 3,2,9999999,9999999,9999999,Gravel,9999999,9999999
281,SW 4,1,0,200,9999999,O Layer,9999999,9999999
282,FRIENDS 1,1,9999999,9999999,9999999,9999999,9999999,9999999
283,FRIENDS 7,1,9999999,9999999,9999999,9999999,9999999,9999999
284,ND 5,1,9999999,9999999,9999999,9999999,9999999,9999999
285,HR 15,1,9999999,9999999,9999999,9999999,9999999,9999999
,Knoll,1,,,10YR ,Sandy clay loam,5,2
,Knoll,2,,,10YR,Silty clay loam ,4,4
,Knoll,3,,,10YR, Sandy clay loam ,3,4
,Knoll,2,,,10YR,Sandy clay,3,4
,Knoll,3,,,10YR,Sandy clay loam,3,2
,Knoll,2,,,10YR,Clay loam,4,4
,Knoll,3,,,10YR,Clay loam,4,3
,Knoll,3,,,10YR,Silty clay,3,2
,Knoll,2,,,10YR,Sandy clay loam,3,1
,Knoll,3,,,10YR,Sandy clay,4,2
,Knoll,1,,,10YR,Clay,4,2
,Knoll,2,,,10YR,Silty clay,4,2
,Knoll,3,,,10YR,Clay loam,3,3
,Knoll,1,,,10YR,Sandy clay loam,3,2
,Knoll,2,,,10YR,Sandy loam,2,2
,Knoll,1,,,10YR,Sandy clay loam,4,2
,Knoll,1,,,10YR,Silty clay,5,4
,Knoll,2,,,10YR,Silty clay,3,2
,Knoll,1,,,10YR,Silty clay,3,2
,Knoll,2,,,10YR,Sandy loam,3,3
,Knoll,1,,,10YR,Sandy clay laom,3,2
,Knoll,1,,,10YR,Silty clay,4,2
,Knoll,1,,,10YR,clay,4,2
,Knoll,3,,,10YR,Silty clay,4,2
,Knoll,3,,,10YR,Silty clay,2,2
,Knoll,1,,,10YR,Silty clay,3,2
,Knoll,1,,,10YR,Sandy clay,3,2
,Knoll,1,,,10YR,Silt loam,3,2
,Knoll,1,,,10YR,Sandy clay,4,3
,Knoll,3,,,10YR,Sandy clay loam,3,3
,Knoll,1,,,10YR,Clay loam,3,2
,Knoll,1,,,10YR,Sandy clay loam,5,4
,Knoll,2,,,10YR,Sandy clay loam,3,3
,Knoll,1,,,10YR,Sandy clay,3,2
,Knoll,2,,,10YR,Sandy clay,4,3
,Knoll,1,,,10YR,Clay,4,2
,Knoll,2,,,10YR,Silty clay,6,2
,Knoll,1,,,10YR,Silty clay,2,1
,Knoll,1,,,10YR,Sandy clay loam,3,1
,Knoll,1,,,10YR,Sandy clay loam,2,1
,Knoll,1,,,10YR,Silty clay,4,2
,Knoll,1,,,10YR,Silty clay,5,2
,Knoll,1,,,10YR,Sandy clay,4,6
,Knoll,2,,,10YR,Sandy clay,4,4
,Knoll,2,,,10YR,Sandy loam,3,3
,TyroneSt,2,,,10YR,Sandy clay loam,5,4
,TyroneSt,1,,,10YR,Sandy loam,4,2
