685,3,ACRU,0,AH 5,0
686,4,ACRU,0,AH 5,0
687,5,ACRU,0,AH 5,0
688,6,FRPE,0,AH 5,0
689,7,FRPE,0,AH 5,0
690,8,FRPE,2,AH 5,0
691,9,FRPE,2,AH 5,0
692,10,QUPA2,0,AH 5,0
693,11,QUPA2,0,AH 5,0
694,12,QUPA2,3,AH 5,0
695,13,QUPA2,3,AH 5,0
696,14,CACA18,1,AH 5,0
697,15,CACA18,1,AH 5,0
698,16,CAGL8,3,AH 5,0
699,1,QUPA2,0,AH 6,0
700,2,QUPA2,0,AH 6,0
701,3,QUPA2,0,AH 6,0
702,4,QUPA2,0,AH 6,0
703,5,QUPA2,2,AH 6,0
704,6,QUPA2,2,AH 6,0
705,7,Dead,0,AH 6,0
706,8,FRPE,0,AH 6,0
707,9,ULRU,0,AH 6,0
708,10,ACRU,0,AH 6,0
709,1,QUPA2,0,AH 7,0
710,2,QUPA2,0,AH 7,0
711,3,QUPA2,0,AH 7,0
712,4,QUPA2,0,AH 7,0
713,5,QUPA2,3,AH 7,0
714,6,LITU,0,AH 7,0
715,7,LITU,2,AH 7,0
716,8,LITU,3,AH 7,0
717,9,ACRU,0,AH 7,0
718,10,LIBE3,0,AH 7,0
719,11,ULRU,0,AH 7,0
720,1,QUMI,3,AH 8,0
721,2,Dead,5,AH 8,0
722,3,QUPA2,1,AH 8,0
723,4,QUPA2,3,AH 8,0
724,5,QUPA2,3,AH 8,0
725,6,ACRU,0,AH 8,0
726,7,ACRU,0,AH 8,0
727,8,ACRU,0,AH 8,0
728,9,VIPR,0,AH 8,0
729,10,LITU,0,AH 8,0
730,11,LITU,0,AH 8,0
731,12,LITU,3,AH 8,0
732,13,NYSY,0,AH 8,0
733,14,NYSY,2,AH 8,0
734,1,ACRU,0,AH 9,0
735,2,ACRU,0,AH 9,0
736,3,ACRU,0,AH 9,0
737,4,ACRU,0,AH 9,0
738,5,ACRU,0,AH 9,0
739,6,QUPA2,0,AH 9,0
740,7,QUPA2,0,AH 9,0
741,8,QUPA2,2,AH 9,0
742,9,QUPA2,3,AH 9,0
743,10,CACA18,0,AH 9,0
744,11,FRPE,0,AH 9,0
745,12,FRPE,0,AH 9,0
746,13,FRPE,0,AH 9,0
747,14,FRPE,3,AH 9,0
748,15,Dead,0,AH 9,0
749,16,LITU,2,AH 9,0
750,1,Dead,3,JHU 1,0
751,2,FAGR,0,JHU 1,0
752,1,ACNE2,0,JHU 10,0
753,2,ULRU,3,JHU 10,0
754,3,LITU,0,JHU 10,0
755,4,JUNI,0,JHU 10,0
756,1,LITU,0,JHU 11,0
757,2,LITU,0,JHU 11,0
758,3,LITU,0,JHU 11,0
759,4,LITU,0,JHU 11,0
760,5,LITU,0,JHU 11,0
761,6,LITU,0,JHU 11,0
762,7,LITU,1,JHU 11,0
763,8,LITU,1,JHU 11,0
764,9,FRPE,0,JHU 11,0
765,1,PRSE2,1,JHU 12,0
766,2,PRSE2,2,JHU 12,0
767,3,PRSE2,3,JHU 12,0
768,4,QURU,0,JHU 12,0
769,5,COKO2,0,JHU 12,0
770,6,LITU,0,JHU 12,0
771,7,FAGR,0,JHU 12,0
772,1,LITU,1,JHU 13,0
773,2,MOAL,0,JHU 13,0
774,3,FAGR,0,JHU 13,0
775,4,Dead,0,JHU 13,0
776,5,QUVE,1,JHU 13,0
777,1,LITU,2,JHU 14,0
778,2,QUAL,2,JHU 14,0
779,3,QUAL,3,JHU 14,0
780,4,FAGR,1,JHU 14,0
781,1,CAGL8,2,JHU 16,0
782,2,FRPE,1,JHU 16,0
783,3,QUAL,1,JHU 16,0
784,4,QUAL,1,JHU 16,0
785,5,QUAL,1,JHU 16,0
786,6,QUAL,2,JHU 16,0
787,7,QUAL,2,JHU 16,0
788,8,QURU,2,JHU 16,0
789,9,QURU,2,JHU 16,0
790,10,QURU,2,JHU 16,0
791,11,QUPA2,1,JHU 16,0
792,12,QUVE,0,JHU 16,0
793,13,PRSE2,1,JHU 16,0
794,1,QUVE,0,JHU 17,0
795,2,QUVE,1,JHU 17,0
796,3,QUAL,0,JHU 17,0
797,4,QUAL,0,JHU 17,0
798,5,QUAL,0,JHU 17,0
799,6,QUAL,0,JHU 17,0
800,7,QUAL,2,JHU 17,0
801,8,QUAL,2,JHU 17,0
802,9,QUAL,2,JHU 17,0
803,1,QUVE,1,JHU 18,0
804,2,QUVE,2,JHU 18,0
805,3,QUVE,3,JHU 18,0
806,4,QUVE,3,JHU 18,0
807,5,QUAL,0,JHU 18,0
808,6,QUAL,1,JHU 18,0
809,7,PRSE2,2,JHU 18,0
810,1,LITU,0,JHU 19,0
811,2,LITU,0,JHU 19,0
812,3,LITU,0,JHU 19,0
813,4,LITU,0,JHU 19,0
814,5,LITU,0,JHU 19,0
815,6,FAGR,0,JHU 19,0
816,7,FAGR,0,JHU 19,0
817,8,FAGR,1,JHU 19,0
818,9,QUAL,0,JHU 19,0
819,10,QUAL,1,JHU 19,0
820,1,Dead,1,JHU 2,0
821,2,LITU,2,JHU 2,0
822,3,PLOC,0,JHU 2,0
823,4,ACPL,1,JHU 2,0
824,5,FAGR,1,JHU 2,0
825,1,LITU,0,JHU 20,0
826,2,LITU,0,JHU 20,0
827,3,LITU,0,JHU 20,0
828,4,LITU,0,JHU 20,0
829,5,LITU,1,JHU 20,0
830,6,LITU,1,JHU 20,0
831,7,LITU,2,JHU 20,0
832,8,LITU,2,JHU 20,0
833,9,QUAL,0,JHU 20,0
834,10,FAGR,0,JHU 20,0
835,11,FAGR,0,JHU 20,0
836,12,FAGR,0,JHU 20,0
837,1,LITU,2,JHU 21,0
838,2,LITU,2,JHU 21,0
839,3,FAGR,0,JHU 21,0
840,4,NYSY,0,JHU 21,0
841,1,PRSE2,0,JHU 22,0
842,2,FAGR,0,JHU 22,0
843,3,FAGR,0,JHU 22,0
844,4,FAGR,1,JHU 22,0
845,5,FAGR,1,JHU 22,0
846,6,LITU,0,JHU 22,0
847,7,LITU,0,JHU 22,0
848,8,LITU,1,JHU 22,0
849,9,FRPE,3,JHU 22,0
850,10,PRAV,0,JHU 22,0
851,1,QUAL,0,JHU 23,0
852,2,QUAL,0,JHU 23,0
853,3,QUAL,0,JHU 23,0
854,4,QUAL,1,JHU 23,0
855,5,QURU,0,JHU 23,0
856,6,QURU,0,JHU 23,0
857,7,QURU,0,JHU 23,0
858,8,QURU,0,JHU 23,0
859,9,QURU,1,JHU 23,0
860,1,ACNE2,1,JHU 24,0
861,2,LITU,0,JHU 24,0
862,3,LITU,0,JHU 24,0
863,4,LITU,0,JHU 24,0
864,5,LITU,0,JHU 24,0
865,6,LITU,0,JHU 24,0
866,7,LITU,1,JHU 24,0
867,8,PRSE2,1,JHU 24,0
868,9,FAGR,0,JHU 24,0
869,10,JUNI,5,JHU 24,0
870,11,JUNI,5,JHU 24,0
871,1,QURU,0,JHU 25,0
872,2,QURU,0,JHU 25,0
873,3,FAGR,0,JHU 25,0
874,4,FAGR,0,JHU 25,0
875,5,FAGR,0,JHU 25,0
876,6,FAGR,0,JHU 25,0
877,7,FAGR,0,JHU 25,0
878,8,FAGR,0,JHU 25,0
879,9,FAGR,0,JHU 25,0
880,10,PRSE2,0,JHU 25,0
881,11,LITU,0,JHU 25,0
882,12,LITU,0,JHU 25,0
883,13,QUFA,0,JHU 25,0
884,14,QUFA,0,JHU 25,0
885,1,QUFA,0,JHU 26,0
886,2,QUFA,1,JHU 26,0
887,3,QUFA,1,JHU 26,0
888,4,QUAL,0,JHU 26,0
889,5,QUAL,0,JHU 26,0
890,6,QUAL,1,JHU 26,0
891,7,FAGR,0,JHU 26,0
892,1,LITU,0,JHU 27,0
893,2,LITU,0,JHU 27,0
894,3,QUFA,0,JHU 27,0
895,4,QUFA,0,JHU 27,0
896,5,QUFA,0,JHU 27,0
897,6,FAGR,0,JHU 27,0
898,7,FAGR,0,JHU 27,0
899,8,FAGR,0,JHU 27,0
900,9,FAGR,0,JHU 27,0
901,10,FAGR,0,JHU 27,0
902,11,QUAL,0,JHU 27,0
903,12,QUAL,0,JHU 27,0
904,13,Dead,0,JHU 27,0
905,1,QUAL,0,JHU 28,0
906,2,QUAL,0,JHU 28,0
907,3,QUAL,0,JHU 28,0
908,4,FAGR,0,JHU 28,0
909,5,FAGR,0,JHU 28,0
910,6,FAGR,1,JHU 28,0
911,7,FAGR,1,JHU 28,0
912,8,FAGR,1,JHU 28,0
913,9,NYSY,1,JHU 28,0
914,10,NYSY,1,JHU 28,0
915,11,LITU,2,JHU 28,0
916,12,LITU,2,JHU 28,0
917,1,QURU,0,JHU 29,0
918,2,LITU,0,JHU 29,0
919,3,LITU,0,JHU 29,0
920,4,LITU,0,JHU 29,0
921,5,LITU,0,JHU 29,0
922,6,LITU,1,JHU 29,0
923,7,LITU,1,JHU 29,0
924,8,FAGR,0,JHU 29,0
925,9,FAGR,0,JHU 29,0
926,10,FAGR,0,JHU 29,0
927,11,FAGR,0,JHU 29,0
928,12,FAGR,0,JHU 29,0
929,13,FAGR,0,JHU 29,0
930,14,FAGR,0,JHU 29,0
