"1842","LOJA","20","GS 17",
"1843","CARA2","20","GS 2",
"1844","LOJA","20","GS 20",
"1845","PAQU2","20","GS 21",
"1846","ROMU","23","GS 3",
"1847","HEHE","25","GS 12",
"1848","NYSY","25","GS 15",
"1849","RUPH","25","GS 17",
"1850","HEHE","25","GS 20",
"1851","LOJA","25","GS 3",
"1852","TORA2","25","GS 5",
"1853","HEHE","30","GS 13",
"1854","HEHE","30","GS 30",
"1855","TORA2","30","GS 7",
"1856","RUBUS","35","GS 21",
"1857","CAGL8","35","GS 7",
"1858","WIFL","40","GS 19",
"1859","FORSY","40","GS 3",
"1860","ROMU","40","GS 31",
"1861","LOJA","40","GS 31",
"1862","HEHE","45","GS 14",
"1863","CLEMA","45","GS 17",
"1864","SMILA2","45","GS 22",
"1865","HEHE","45","GS 8",
"1866","LOJA","55","GS 13",
"1867","LOJA","55","GS 5",
"1868","LOJA","57","GS 10",
"1869","LOJA","60","GS 2",
"1870","CESTM","75","GS 1",
"1871","TORA2","75","GS 6",
"1872","PHILA","80","GS 23",
"1873","HEHE","83","GS 29",
"1874","AMBR7","85","GS 28",
"1875","GLHE2","95","GS 25",
"1876","Grass","100","GS 24",
"1877","ACRU","1","GS 15","yes"
"1878","ULRU","1","GS 15","yes"
"1879","ILOP","1","GS 15","yes"
"1880","HEHE","1","GS 18","yes"
"1881","ACRU","1","GS 26","yes"
"1882","LACE","1","GS 26","yes"
"1883","AMBR7","1","GS 31","yes"
"2392","CILU","1","HR 13",
"2393","LINDE2","1","HR 14",
"2394","PRSE2","1","HR 14",
"2395","LONIC","1","HR 18",
"2396","CLTE4","1","HR 5",
"2397","SMILA2","1","HR 7",
"2398","POLYG2","1","HR 8",
"2399","LINDE2","2","HR 12",
"2400","LONIC","2","HR 1",
"2401","PAQU2","2","HR 11",
"2402","ROMU","2","HR 13",
"2403","HEHE","2","HR 13",
"2404","HEHE","2","HR 14",
"2405","HEHE","2","HR 17",
"2406","ROMU","2","HR 17",
"2407","TORA2","2","HR 5",
"2408","LONIC","2","HR 5",
"2409","SMILA2","2","HR 8",
"2410","PAQU2","2","HR 8",
"2411","TORA2","2","HR 8",
"2412","GECA7","3","HR 12",
"2413","FRAXI","3","HR 4",
"2414","FRAXI","4","HR 10",
"2415","TORA2","5","HR 10",
"2416","HEHE","5","HR 11",
"2417","TORA2","5","HR 14",
"2418","TORA2","5","HR 15",
"2419","HEHE","5","HR 16",
"2420","GECA7","5","HR 16",
"2421","PAQU2","5","HR 20",
"2422","GECA7","5","HR 20",
"2423","HEHE","5","HR 4",
"2424","NYSY","5","HR 7",
"2425","HEHE","5","HR 8",
"2426","HEHE","6","HR 10",
"2427","LONIC","6","HR 14",
"2428","TORA2","7","HR 12",
