"865","1","350","ND 12"
"866","2","350","ND 12"
"867","3","350","ND 12"
"868","4","300","ND 12"
"869","5","350","ND 12"
"870","1","200","ND 13"
"871","2","200","ND 13"
"872","3","175","ND 13"
"873","4","200","ND 13"
"874","5","175","ND 13"
"875","1","175","ND 14"
"876","2","200","ND 14"
"877","3","250","ND 14"
"878","4","300","ND 14"
"879","5","250","ND 14"
"880","1","175","ND 18"
"881","2","175","ND 18"
"882","3","150","ND 18"
"883","4","125","ND 18"
"884","5","125","ND 18"
"885","1","300","ND 19"
"886","2","275","ND 19"
"887","3","300","ND 19"
"888","4","250","ND 19"
"889","5","250","ND 19"
"890","1","350","ND 22"
"891","2","350","ND 22"
"892","3","325","ND 22"
"893","4","350","ND 22"
"894","5","375","ND 22"
"895","1","350","ND 23"
"896","2","300","ND 23"
"897","3","350","ND 23"
"898","4","325","ND 23"
"899","5","350","ND 23"
"900","1","175","ND 24"
"901","2","200","ND 24"
"902","3","150","ND 24"
"903","4","200","ND 24"
"904","5","200","ND 24"
"905","1","100","ND 25"
"906","2","100","ND 25"
"907","3","125","ND 25"
"908","4","130","ND 25"
"909","5","115","ND 25"
"910","1","175","ND 28"
"911","2","300","ND 28"
"912","3","300","ND 28"
"913","4","325","ND 28"
"914","5","325","ND 28"
"915","1","350","ND 30"
"916","2","350","ND 30"
"917","3","400","ND 30"
"918","4","375","ND 30"
"919","5","325","ND 30"
"920","1","350","ND 34"
"921","2","350","ND 34"
"922","3","375","ND 34"
"923","4","400","ND 34"
"924","5","375","ND 34"
"925","1","300","ND 37"
"926","2","350","ND 37"
"927","3","325","ND 37"
"928","4","300","ND 37"
"929","5","325","ND 37"
"930","1","200","ND 38"
"931","2","300","ND 38"
"932","3","300","ND 38"
"933","4","250","ND 38"
"934","5","325","ND 38"
"935","1","250","ND 4"
"936","2","300","ND 4"
"937","3","350","ND 4"
"938","4","300","ND 4"
"939","5","300","ND 4"
"940","1","120","ND 5"
"941","2","125","ND 5"
"942","3","100","ND 5"
"943","4","100","ND 5"
"944","5","130","ND 5"
"945","1","175","ND 7"
"946","2","180","ND 7"
"947","3","200","ND 7"
"948","4","225","ND 7"
"949","5","215","ND 7"
"950","1","250","ND 9"
"951","2","275","ND 9"
"952","3","250","ND 9"
"953","4","300","ND 9"
"954","5","325","ND 9"
"955","1","110","RPCS 1"
"956","2","160","RPCS 1"
"957","3","190","RPCS 1"
"958","4","150","RPCS 1"
"959","5","150","RPCS 1"
"960","1","125","RPCS 13"
"961","2","190","RPCS 13"
"962","3","125","RPCS 13"
"963","4","110","RPCS 13"
"964","5","150","RPCS 13"
"965","1","150","RPCS 17"
"966","2","100","RPCS 17"
"967","3","100","RPCS 17"
"968","4","100","RPCS 17"
"969","5","200","RPCS 17"
"970","1","140","RPCS 20"
"971","2","130","RPCS 20"
"972","3","140","RPCS 20"
"973","4","175","RPCS 20"
"974","5","150","RPCS 20"
"975","1","110","RPCS 23"
"976","2","75","RPCS 23"
"977","3","30","RPCS 23"
"978","4","110","RPCS 23"
"979","5","145","RPCS 23"
"980","1","85","RPCS 6"
"981","2","95","RPCS 6"
"982","3","110","RPCS 6"
"983","4","100","RPCS 6"
"984","5","130","RPCS 6"
"985","1","150","RPCS 9"
"986","2","200","RPCS 9"
"987","3","150","RPCS 9"
"988","4","150","RPCS 9"
"989","5","175","RPCS 9"
"990","1","275","SETON 13"
"991","2","275","SETON 13"
"992","3","310","SETON 13"
"993","4","250","SETON 13"
"994","5","300","SETON 13"
"995","1","240","SETON 15"
"996","2","210","SETON 15"
"997","3","275","SETON 15"
"998","4","200","SETON 15"
"999","5","200","SETON 15"
"1000","1","270","SETON 17"
"1001","2","250","SETON 17"
"1002","3","280","SETON 17"
"1003","4","280","SETON 17"
